A Man Without Honor,"None","a_man_without_honor","season_2"
Acting Hand of the King,"Reluctantly impressed by Tyrion's astute judgment of the situation , Tywin orders his son to go to King's Landing and serve as Acting Hand of the King in Tywin's stead .","fire_and_blood","season_1"
Aegon,"Sandor continues to point out that he was n't present for these crimes and many of them were in fact committed by his older brother Gregor ( who personally killed the baby Aegon , then raped and killed his mother Elia ) .","and_now_his_watch_is_ended","season_3"
Aegon Targaryen,"The Brotherhood continues to cite various Lannister crimes : Thoros says he was there during the Sack of King's Landing and saw the butchered corpses of the royal children , Rhaenys and Aegon Targaryen .","and_now_his_watch_is_ended","season_3"
Aegon the Conquer,"She was worried that he must get bored down in his cell , so she brought him a book to read , about Aegon the Conquer and his dragons - she excitedly points out that the Targaryens built Dragonstone , and Aegon used to live in this very castle .","kissed_by_fire","season_3"
Aegon the Conqueror,"She asks Jorah to help convince her husband since the Seven Kingdoms are hers by birthright but he reminds her that her ancestor Aegon the Conqueror took six of the Seven Kingdoms , because he was capable of doing so ( due to his dragons ) , nothing more .","you_win_or_you_die","season_1"
Aemon,"To Jon's surprise , Aemon reveals that his full name is Aemon Targaryen , the son of a king , brother to another , the uncle of the Mad King .","baelor","season_1"
Aemon Targaryen,"To Jon's surprise , Aemon reveals that his full name is Aemon Targaryen , the son of a king , brother to another , the uncle of the Mad King .","baelor","season_1"
Aeron,"She swears to do this upon the Salt Throne and Aeron explains to her that she is n't the ruler yet , because the law says that the Kingsmoot chooses the next ruler .","home","season_6"
Aeron Greyjoy,"At Balon's funeral , Yara tells the priest , Aeron Greyjoy , Balon's youngest brother , that she will find the person who did this and feed them to sharks while they 're still alive .","home","season_6"
Aerys,"Jaime recounts Aerys's madness .","kissed_by_fire","season_3"
Aerys Targaryen,"He boasts to Ros of the several great kings he has served , lamenting first how Aerys Targaryen devolved from a charming young man into a paranoid lunatic obsessed with fire , how Robert Baratheon was a great soldier , but perhaps not so ideal a king , before displaying his sycophantic loyalty to Joffrey .","fire_and_blood","season_1"
Aggo,"At Jorah's insistence , Daario smashes Aggo's skull with a rock so that no one will think he was killed with a bladed weapon .","book_of_the_stranger","season_6"
Ahko,"During the Khalar vezhven , the khals argue about how to deal with Iggo and Akho's deaths ; Khal Moro defuses the situation by reminding them that Ahko was a member of his khalasar , and he does not care about finding the killer if he was stupid enough to get himself killed .","book_of_the_stranger","season_6"
Akho,"Within the city itself , Jorah and Daario run afoul of Akho and Iggo who see through Jorah's claims to be a wine merchant .","book_of_the_stranger","season_6"
Alan Taylor,"Weiss and directed by Alan Taylor .","baelor","season_1"
Alayne,"Lord Petyr Baelish and Sansa Stark arrive safely at the Bloody Gate , though Petyr has Sansa cover her hair , as auburn is widely known as a Tully trait , and introduces her as his niece , Alayne .","first_of_his_name","season_4"
Alchemists' Guild,"From his spy , his cousin Ser Lancel Lannister , Tyrion learns that Cersei has been having extensive meetings with the Alchemists' Guild .","the_ghost_of_harrenhal","season_2"
Alex Graves,"Weiss and directed by Alex Graves .","and_now_his_watch_is_ended","season_3"
Alik Sakharov,"It was written by story editor Bryan Cogman and directed by cinematographer Alik Sakharov .","what_is_dead_may_never_die","season_2"
Alliser,"Alliser orders the archers on the Wall to nock their arrows , but they draw instead while Grenn accidentally drops a barrel down the Wall .","the_watchers_on_the_wall","season_4"
Alliser Thorne,"A furious Alliser Thorne comes in and tells Jon that this charity wo n't help Sam harden up to survive the winter that is coming .","cripples,_bastards_and_broken_things","season_1"
Alton,"Robb is unsurprised that she rejected them and imprisons Alton with his cousin Jaime Lannister .","a_man_without_honor","season_2"
Alton Lannister,"Torrhen Karstark discovers the body of Alton Lannister .","a_man_without_honor","season_2"
Amory,"Arya runs away and Amory heads to tell Tywin .","the_old_gods_and_the_new","season_2"
Amory Lorch,"At Harrenhal , Tywin Lannister is discussing the assassination of Amory Lorch with Ser Gregor Clegane .","a_man_without_honor","season_2"
An History of Aegon the Conqueror and His Conquest of Westeros,"None","kissed_by_fire","season_3"
Anara,"She brings out her best and most expensive prostitute , a beautiful young woman named Anara , but Meryn again dismisses her as too old .","the_dance_of_dragons","season_5"
And Now His Watch is Ended,"None","and_now_his_watch_is_ended","season_3"
Anguy,"Sandor scoffs at this and throws it to the ground , but Anguy says he should be thankful they 're letting him leave with his life .","kissed_by_fire","season_3"
April,"It first aired on April 24 , 2011 .","the_kingsroad","season_1"
Arbor,"Seeing Daenerys with a wineseller who is keen for her to try a particular vintage from the Arbor , Jorah realizes that the wine has been poisoned ; this is the assassination attempt .","you_win_or_you_die","season_1"
Areo,"Areo leads Bronn back to the solar where Doran , Jaime , and the rest remain .","the_dance_of_dragons","season_5"
Areo Hotah,"Jaime Lannister is escorted into the main apartments of the Water Gardens by Areo Hotah , to be received by Prince Doran Martell in a luxurious solar , along with Ellaria Sand , Doran's son Trystane Martell , and Jaime's `` niece '' Myrcella Baratheon .","the_dance_of_dragons","season_5"
Armeca,"In one of his brothels , Littlefinger instructs the newly-arrived Ros and another prostitute , Armeca , on how to please their customers and make them happy .","you_win_or_you_die","season_1"
Army of the Dead,"Bran wargs into the tree by himself and sees the Army of the Dead .","the_door","season_6"
Arry,"Pretending that Arya is a boy called `` Arry '' , he has her join the group .","fire_and_blood","season_1"
